Country,Year,Type Of Foreign Trade Product,Additional Information,"Gross Imports (UOM:t(Tonne)), Scaling Factor:1000000","Exports (UOM:t(Tonne)), Scaling Factor:1000000","Net Imports (UOM:t(Tonne)), Scaling Factor:1000000"
India,"Financial Year (Apr - Mar), 2023",Coal,Provisional,264.53,1.55,262.99
India,"Financial Year (Apr - Mar), 2023",Lignite,Provisional,0.05,0.0,0.05
India,"Financial Year (Apr - Mar), 2023",Crude Oil,Provisional,234.26,0.0,234.26
India,"Financial Year (Apr - Mar), 2023",Petroleum Products,Provisional,48.69,62.59,-13.9
India,"Financial Year (Apr - Mar), 2023",Natural Gas (Billion Cubic Metres),Provisional,31.8,0.0,31.8
India,"Financial Year (Apr - Mar), 2023",Electricity (Giga Watt Hour),Provisional,6648.69,11361.98,-4713.29
India,"Financial Year (Apr - Mar), 2022",Coal,,237.67,1.17,236.5
India,"Financial Year (Apr - Mar), 2022",Lignite,,0.02,0.33,-0.31
India,"Financial Year (Apr - Mar), 2022",Crude Oil,,232.7,0.0,232.7
India,"Financial Year (Apr - Mar), 2022",Petroleum Products,,44.6,61.01,-16.42
India,"Financial Year (Apr - Mar), 2022",Natural Gas (Billion Cubic Metres),,26.3,0.0,26.3
India,"Financial Year (Apr - Mar), 2022",Electricity (Giga Watt Hour),,7639.76,13791.92,-6152.16
India,"Financial Year (Apr - Mar), 2021",Coal,,208.63,1.32,207.31
India,"Financial Year (Apr - Mar), 2021",Lignite,,0.01,0.02,-0.01
India,"Financial Year (Apr - Mar), 2021",Crude Oil,,212.38,0.0,212.38
India,"Financial Year (Apr - Mar), 2021",Petroleum Products,,39.02,62.75,-23.74
India,"Financial Year (Apr - Mar), 2021",Natural Gas (Billion Cubic Metres),,31.03,0.0,31.03
India,"Financial Year (Apr - Mar), 2021",Electricity (Giga Watt Hour),,7974.01,9249.39,-1275.39
India,"Financial Year (Apr - Mar), 2020",Coal,,215.25,2.95,212.31
India,"Financial Year (Apr - Mar), 2020",Lignite,,0.02,0.19,-0.17
India,"Financial Year (Apr - Mar), 2020",Crude Oil,,196.46,0.0,196.46
India,"Financial Year (Apr - Mar), 2020",Petroleum Products,,43.25,56.77,-13.52
India,"Financial Year (Apr - Mar), 2020",Natural Gas (Billion Cubic Metres),,33.03,0.0,33.03
India,"Financial Year (Apr - Mar), 2020",Electricity (Giga Watt Hour),,9547.7,9573.55,-25.85
India,"Financial Year (Apr - Mar), 2019",Coal,,248.54,1.03,247.51
India,"Financial Year (Apr - Mar), 2019",Lignite,,0.05,0.09,-0.04
India,"Financial Year (Apr - Mar), 2019",Crude Oil,,226.95,0.0,226.95
India,"Financial Year (Apr - Mar), 2019",Petroleum Products,,43.79,65.69,-21.9
India,"Financial Year (Apr - Mar), 2019",Natural Gas (Billion Cubic Metres),,33.89,0.0,33.89
India,"Financial Year (Apr - Mar), 2019",Electricity (Giga Watt Hour),,6350.6,9490.91,-3140.31
India,"Financial Year (Apr - Mar), 2018",Coal,,235.35,1.31,234.04
India,"Financial Year (Apr - Mar), 2018",Lignite,,0.02,0.08,-0.06
India,"Financial Year (Apr - Mar), 2018",Crude Oil,,226.5,0.0,226.5
India,"Financial Year (Apr - Mar), 2018",Petroleum Products,,33.35,61.1,-27.75
India,"Financial Year (Apr - Mar), 2018",Natural Gas (Billion Cubic Metres),,28.74,0.0,28.74
India,"Financial Year (Apr - Mar), 2018",Electricity (Giga Watt Hour),,4395.86,8468.94,-4073.08
India,"Financial Year (Apr - Mar), 2017",Coal,,208.25,1.5,206.75
India,"Financial Year (Apr - Mar), 2017",Lignite,,0.01,0.0,0.01
India,"Financial Year (Apr - Mar), 2017",Crude Oil,,220.43,0.0,220.43
India,"Financial Year (Apr - Mar), 2017",Petroleum Products,,35.46,66.83,-31.37
India,"Financial Year (Apr - Mar), 2017",Natural Gas (Billion Cubic Metres),,27.44,0.0,27.44
India,"Financial Year (Apr - Mar), 2017",Electricity (Giga Watt Hour),,5072.08,7202.86,-2130.78
India,"Financial Year (Apr - Mar), 2016",Coal,,190.95,1.77,189.18
India,"Financial Year (Apr - Mar), 2016",Lignite,,0.02,0.01,0.01
India,"Financial Year (Apr - Mar), 2016",Crude Oil,,213.93,0.0,213.93
India,"Financial Year (Apr - Mar), 2016",Petroleum Products,,36.29,65.51,-29.23
India,"Financial Year (Apr - Mar), 2016",Natural Gas (Billion Cubic Metres),,24.85,0.0,24.85
India,"Financial Year (Apr - Mar), 2016",Electricity (Giga Watt Hour),,5617.3,6710.19,-1092.89
India,"Financial Year (Apr - Mar), 2015",Coal,,203.95,1.58,202.37
India,"Financial Year (Apr - Mar), 2015",Lignite,,0.0,0.0,0.0
India,"Financial Year (Apr - Mar), 2015",Crude Oil,,202.85,0.0,202.85
India,"Financial Year (Apr - Mar), 2015",Petroleum Products,,29.46,60.54,-31.08
India,"Financial Year (Apr - Mar), 2015",Natural Gas (Billion Cubic Metres),,21.39,0.0,21.39
India,"Financial Year (Apr - Mar), 2015",Electricity (Giga Watt Hour),,5244.21,5150.3,93.91
India,"Financial Year (Apr - Mar), 2014",Coal,,217.78,1.24,216.54
India,"Financial Year (Apr - Mar), 2014",Lignite,,0.0,0.0,0.0
India,"Financial Year (Apr - Mar), 2014",Crude Oil,,189.43,0.0,189.43
India,"Financial Year (Apr - Mar), 2014",Petroleum Products,,21.3,63.93,-42.63
India,"Financial Year (Apr - Mar), 2014",Natural Gas (Billion Cubic Metres),,18.61,0.0,18.61
India,"Financial Year (Apr - Mar), 2014",Electricity (Giga Watt Hour),,5007.74,4432.76,574.98
India,"Financial Year (Apr - Mar), 2013",Coal,,166.86,2.19,164.67
India,"Financial Year (Apr - Mar), 2013",Lignite,,0.0,0.0,0.0
